P_ID	Name	Label
p148	<Behzad_Nabavi>	"بهزاد نبوي"@fas
p136	<Mohammad_Gharazi>	"مهندس غرضي"@fas
p135	<Mohsen_Nourbakhsh>	"سيد محسن نوربخش"@fas
p130	<Rahman_Dadman>	"رحمان دادمان"@fas
p133	<Ali_Akbar_Velayati>	"علی‌اکبر ولایتی"@fas
p131	<Rostam_Ghasemi>	"رستم قاسمي"@fas
p140	<Sadegh_Ghotbzadeh>	"صادق قطب زاده"@fas
p139	<Fazlollah_Zahedi>	"فضل الله خان بصير ديوان"@fas
p137	<Hassan_Taqizadeh>	"تقی‌زاده"@fas
p123	<Mohammad_Hossein_Jalali>	"Jalali"
p122	<Fathollah_Khan_Akbar>	"فتح الله خان سپهدار رشتی"@fas
p129	<Mohammad_Reyshahri>	"ری شهری"@fas
p124	<Mohammad_Hosseini_(politician)>	"Mohammad Hosseini (politician)"@eng
p115	<Morteza-Qoli_Bayat>	"سهام السلطان بيات"@fas
p114	<Farrokhroo_Parsa>	"فَرُّخ‌رو پارسا"@fas
p119	<Ali_Soheili>	"علی سهیلی"@fas
p117	<Iraj_Eskandari>	"ايرج اسكندري"@fas
p116	<Mohammad-Ali_Najafi>	"محمدعلی نجفی (معاون رییس جمهور)"@fas
p240	<Ali_Shayegan>	"دكتر شايگان"@fas
p238	<Abolhassan_Banisadr>	"بنی‌صدر"@fas
p239	<Karim_Khodapanahi>	"Karim Khodapanahi"
p237	<de/Mohammed_Hossein_Saif_Qazi>	"Seyfi Qazi"@kur
p235	<Mahmud_Mahmud>	"Mahmud Mahmud"@eng
p234	<Mohammad_Ali_Foroughi>	"محمدعلی فروغی"@fas
p248	<Morteza_Bakhtiari>	"Morteza Bakhtiari"@eng
p247	<Mahmoud_Alavi>	"محمود علوي"@fas
p246	<Hamid_Behbahani>	"حمید بهبهانی"@fas
p245	<Teymur_Bakhtiar>	"سپهبد تيمور بختيار"@fas
p244	<Abdolreza_Rahmani_Fazli>	"رحمانی فضلی"@fas
p243	<Ali_Akbar_Salehi>	"علی‌اکبر صالحی"@fas
p242	<Alireza_Sheikhattar>	"Ali-Reza"@deu
p241	<Amanullah_Jahanbani>	"امان الله جهانباني"@fas
p231	<Hossein_Namazi>	"Hossein Namazi"@eng
p230	<Mohammad_Javad_Tondguyan>	"Mohammad"
p228	<Jafar_Towfighi>	"جعفر توفيقي داريان"@fas
p233	<Dariush_Homayoon>	"داريوش همايون"@fas
p232	<Heydar_Moslehi>	"حيدر مصلحي"@fas
p223	<Mostafa_Mir-Salim>	"Mostafa Mir-Salim"
p224	<Nasser_Moghadam>	"ناصر مقدم"@fas
p226	<Mostafa_Moeen>	"مصطفی معین"@fas
p216	<Mohsen_Rafighdoost>	"محسن رفيق دوست"@fas
p217	<Mahmoud_Farshidi>	"Mahmoud"
p221	<Heidar_Arfaa>	"Arfaa"
p220	<Yahya_Ale_Eshaq>	"يحيي ال اسحاق"@fas
p219	<Sadeq_Khalilian>	"Sadeq Khalilian"
p207	<Abdolhossein_Teymourtash>	"عبدالحسین تیمورتاش"@fas
p206	<Ahmad_Motamedi>	"Ahmad"
p205	<Parviz_Davoodi>	"پرويز داودي"@fas
p204	<Mir-Hossein_Mousavi>	"میرحسین موسوی خامنه ای"@fas
p202	<Hossein_Saffar_Harandi>	"صفار هرندي"@fas
p201	<Mohammad_Reza_Aref>	"دكتر عارف"@fas
p215	<Kamran_Daneshjoo>	"كامران دانشجو"@fas
p211	<Gholam_Hossein_Nozari>	"غلامحسين نوذري"@fas
p213	<Mahmoud_Djam>	"Mahmoud Djam"@eng
p209	<Amir_Abdollah_Tahmasebi>	"عبدالله‌خان امیر طهماسبی"@fas
p208	<Mohsen_Rais>	"Mohsen Rais"@eng
p198	<Iradj_Fazel>	"ايرج فاضل"@fas
p197	<Gholam-Hossein_Mohseni-Eje'i>	"غلامحسين اژه اي"@fas
p196	<Ali-Akbar_Davar>	"علي اكبر داور"@fas
p195	<Nasser_Minachi>	"Nasser Minachi"
p194	<Mohammad_Khatami>	"سید محمدخاتمی"@fas
p193	<Ali_Akbar_Siassi>	"Ali-Akbar Siassi"@eng
p192	<Mohammad_Mosaddegh>	"محمد مصدق السلطنه"@fas
p191	<Ali_Akbar_Nategh-Nouri>	"علی‌اکبر ناطق نوری"@fas
p200	<Hamid_Chitchian>	"Hamid Chitchian"@eng
p199	<Mohammad_Abbasi>	"محمد عباسي"@fas
p186	<Hossein_Ghods-Nakhai>	"Hossein Ghods-Nakhai"@eng
p184	<Mirza_Hassan_Khan_Esfandiary>	"Mirza Hassan Khan Esfandiary"@eng
p189	<Davoud_Danesh-Jafari>	"داود دانش جعفری"@fas
p188	<Alireza_Ali_Ahmadi>	"علیرضا علی‌احمدی"@fas
p180	<Hamid-Reza_Haji_Babaee>	"حاجی‌بابایی"@fas
p179	<Mohammad-Reza_Eskandari>	"محمدرضا اسكندري"@fas
p178	<Ismail_Mumtaz>	"اسماعيل ممتاز"@fas
p177	<Hashem_Sabbaghian>	"هاشم صباغيان"@fas
p183	<Abdolvahed_Mousavi_Lari>	"عبدالواحد موسوي لاري"@fas
p182	<Ali_Shariatmadari>	"علي شريعتمداري"@fas
p181	<Safdar_Hosseini>	"سید صفدر حسینی"@fas
